date,open,high,low,close,adj_close,volume,currency
2024-04-09,1270.582397,1277,1270.582397,1270.260742,1270.260742,0,USD/RWF (RWF=X)
2024-04-09,1278.469971,1278.98999,1278.469971,1278.98999,1278.98999,0,USD/RWF (RWF=X)
2024-04-08,1273.858276,1278,1273.858276,1272.324707,1272.324707,0,USD/RWF (RWF=X)
2024-04-05,1274.835327,1274.835327,1272.929443,1273,1273,0,USD/RWF (RWF=X)
2024-04-04,1268.244141,1273,1268.244141,1271,1271,0,USD/RWF (RWF=X)
2024-04-03,1269.275269,1275.289429,1269.275269,1272.039429,1272.039429,0,USD/RWF (RWF=X)
2024-04-02,1272.003906,1272.039429,1272.003906,1273,1273,0,USD/RWF (RWF=X)
2024-04-01,1271.526855,1273,1271.526855,1270.37915,1270.37915,0,USD/RWF (RWF=X)
2024-03-29,1272.915405,1272.980347,1272.027832,1274,1274,0,USD/RWF (RWF=X)
2024-03-28,1272.276855,1274,1271.682251,1274,1274,0,USD/RWF (RWF=X)
2024-03-27,1275.868408,1275.868408,1272.253296,1273,1273,0,USD/RWF (RWF=X)
2024-03-26,1269.251221,1275,1269.251221,1275,1275,0,USD/RWF (RWF=X)
2024-03-25,1270.505981,1270.505981,1270,1264.945435,1264.945435,0,USD/RWF (RWF=X)
2024-03-22,1277.487915,1277.487915,1269.977661,1270.468384,1270.468384,0,USD/RWF (RWF=X)
2024-03-21,1261.413696,1270.468384,1261.413696,1274,1274,0,USD/RWF (RWF=X)
2024-03-20,1268.644653,1273,1268.644653,1274,1274,0,USD/RWF (RWF=X)
2024-03-19,1276.791504,1276.791504,1270.375244,1276.175049,1276.175049,0,USD/RWF (RWF=X)
2024-03-18,1269.094971,1273,1269.094971,1268.937622,1268.937622,0,USD/RWF (RWF=X)
2024-03-15,1279.279297,1279.390991,1268.669678,1274,1274,0,USD/RWF (RWF=X)
2024-03-14,1266.924561,1274,1266.924561,1274,1274,0,USD/RWF (RWF=X)
2024-03-13,1270.865601,1273,1267.509155,1273,1273,0,USD/RWF (RWF=X)
2024-03-12,1272.384766,1272.384766,1269.430542,1272.51001,1272.51001,0,USD/RWF (RWF=X)
2024-03-11,1275.89563,1275.89563,1253,1275.318604,1275.318604,0,USD/RWF (RWF=X)
2024-03-08,1260.047485,1276.998657,1252,1260.726929,1260.726929,0,USD/RWF (RWF=X)
2024-03-07,1266.935547,1266.935547,1253,1253,1253,0,USD/RWF (RWF=X)
2024-03-06,1265.936035,1269.317383,1251,1265.574219,1265.574219,0,USD/RWF (RWF=X)
2024-03-05,1265.155518,1265.574219,1265.155518,1264.875732,1264.875732,0,USD/RWF (RWF=X)
2024-03-04,1275.628052,1275.628052,1264.875732,1273.94165,1273.94165,0,USD/RWF (RWF=X)
2024-03-01,1263.989624,1280,1263.989624,1280,1280,0,USD/RWF (RWF=X)
